SEX,AGES,ADMISSION MODE,CGPA - 1,CGPA-2,CLUB / DEPARTMENT,BOARD STUDIED,DAYS SINCE LAST SHOWER,TREATS GIVEN,HAS A S/O ?,ATTENDS LECTURES,CHARACTER,PIZZERIA EXPENDITURE (annual),GRAMS / MONTH,GPL
female,21,BITSAT,4.85,6.0,No club,CBSE,1,1,YES,YES,GHOT,4638,0.25,YES
male,24,BITSAT,8.02,6.0,No club,Other,2,3,YES,NO,LITE,19998,1.9,NO
male,20,BITSAT,6.27,3.0,No club,CBSE,2,1,NO,NO,LITE,16194,6.3,NO
male,19,BITSAT,7.91,5.0,No club,CBSE,9,2,YES,NO,GHOT,14199,5.3,NO
male,19,BITSAT,6.5,9.0,No club,CBSE,1,1,NO,NO,GHOT,5831,0.5,YES
male,17,DASA,5.13,7.0,No club,CBSE,8,3,YES,NO,LITE,14973,0.5,NO
male,21,BITSAT,5.76,5.0,No club,ICSE,1,0,YES,NO,GHOT,15091,8.6,NO
male,20,BITSAT,8.68,9.0,No club,CBSE,1,1,YES,NO,GHOT,1844,0.5,YES
male,19,BITSAT,6.33,6.0,No club,CBSE,5,4,NO,NO,GHOT,17381,7.0,NO
male,22,BOARD TOPPER,5.62,5.0,No club,CBSE,4,3,YES,NO,GHOT,5863,0.5,YES
female,19,BITSAT,4.83,5.0,No club,Other,6,4,YES,NO,GHOT,7055,0.25,YES
female,20,DASA,5.48,9.0,No club,CBSE,3,4,YES,NO,GHOT,8589,0.5,YES
female,19,DASA,8.75,3.0,No club,ICSE,14,3,YES,NO,GHOT,6408,0.15,YES
male,21,BOARD TOPPER,3.0,4.0,No club,ICSE,7,4,NO,NO,LITE,18704,6.8,NO
female,20,BITSAT,5.16,7.0,No club,CBSE,5,0,NO,NO,GHOT,18924,8.6,NO
male,20,BITSAT,4.22,7.0,No club,CBSE,3,1,YES,NO,LITE,15245,9.6,NO
male,17,DASA,7.35,3.0,No club,ICSE,14,4,YES,NO,LITE,19195,10.0,NO
male,20,BITSAT,5.97,9.0,No club,ICSE,1,0,NO,NO,LITE,17136,11.0,NO
female,17,DASA,8.74,10.0,No club,CBSE,6,0,YES,YES,LITE,12508,0.7,NO
male,17,DASA,3.15,4.0,No club,CBSE,12,1,YES,NO,GHOT,4839,0.25,YES
female,23,DASA,7.42,10.0,No club,ICSE,9,3,NO,YES,GHOT,6350,0.35,YES
female,17,BITSAT,3.75,6.0,No club,Other,6,4,NO,NO,GHOT,8599,0.15,YES
male,17,BITSAT,6.84,7.0,DVM,Other,14,3,YES,NO,GHOT,4121,0.25,YES
male,19,BITSAT,7.59,3.0,No club,CBSE,4,4,YES,NO,LITE,13500,5.3,NO
female,17,BOARD TOPPER,7.08,7.0,No club,Other,4,0,NO,NO,GHOT,3744,0.2,YES
male,17,BITSAT,6.7,5.0,No club,CBSE,5,4,YES,NO,LITE,21629,8.3,NO
male,17,DASA,4.65,7.0,No club,CBSE,11,0,NO,YES,GHOT,265,0.4,YES
female,17,DASA,5.49,4.0,No club,ICSE,7,4,YES,NO,GHOT,5725,0.25,YES
female,19,DASA,5.79,9.0,No club,ICSE,12,3,YES,NO,GHOT,5246,0.2,YES
male,20,BOARD TOPPER,6.69,8.0,No club,ICSE,6,4,YES,NO,LITE,21727,1.5,NO
female,20,DASA,7.35,5.0,No club,ICSE,2,3,YES,NO,GHOT,5238,0.5,YES
female,20,DASA,4.86,6.0,No club,ICSE,4,3,NO,NO,GHOT,6445,0.4,YES
female,19,DASA,3.0,7.0,DVM,ICSE,11,3,NO,YES,GHOT,3528,0.25,YES
female,20,BOARD TOPPER,7.31,6.0,No club,CBSE,6,3,NO,YES,LITE,21274,4.3,NO
male,20,BITSAT,3.0,8.0,No club,CBSE,6,2,YES,NO,GHOT,19806,10.7,NO
male,22,BOARD TOPPER,7.68,3.0,No club,CBSE,4,0,NO,YES,LITE,19046,10.9,NO
female,20,BOARD TOPPER,10.0,7.0,No club,CBSE,5,3,YES,NO,GHOT,6060,0.25,YES
male,23,BOARD TOPPER,4.72,10.0,No club,CBSE,11,3,NO,NO,LITE,19489,1.5,NO
female,20,DASA,9.45,4.0,No club,CBSE,6,3,NO,YES,GHOT,5691,0.5,YES
female,22,DASA,5.97,10.0,No club,ICSE,3,4,NO,YES,LITE,5578,0.45,YES
male,19,BITSAT,6.75,9.0,No club,CBSE,3,4,YES,NO,LITE,20904,8.8,NO
male,20,BITSAT,5.97,3.0,No club,CBSE,5,3,NO,NO,LITE,20327,4.6,NO
female,20,BOARD TOPPER,6.16,4.0,No club,Other,2,0,NO,NO,LITE,2503,0.3,YES
female,19,BOARD TOPPER,8.71,7.0,No club,CBSE,1,3,NO,YES,GHOT,5141,0.45,YES
female,21,DASA,6.79,4.0,No club,ICSE,2,1,YES,NO,GHOT,2825,0.5,YES
male,24,BITSAT,3.65,7.0,No club,CBSE,1,3,YES,NO,LITE,20007,2.5,NO
female,21,BOARD TOPPER,7.6,4.0,No club,CBSE,4,2,YES,NO,GHOT,6298,0.2,YES
female,20,BITSAT,7.54,10.0,No club,CBSE,13,3,NO,YES,GHOT,5903,0.5,YES
female,19,DASA,3.98,10.0,No club,ICSE,6,3,NO,YES,GHOT,5354,0.35,YES
female,17,BITSAT,4.83,3.0,DVM,Other,12,3,NO,NO,GHOT,3407,0.2,YES
male,22,DASA,9.82,6.0,No club,CBSE,2,4,NO,NO,GHOT,19254,4.0,NO
male,21,DASA,9.87,7.0,No club,CBSE,2,1,NO,YES,LITE,17048,2.6,NO
male,19,BITSAT,5.03,9.0,DVM,CBSE,13,0,NO,NO,LITE,12325,2.3,NO
female,17,DASA,5.26,6.0,No club,CBSE,2,3,NO,NO,GHOT,6433,0.35,YES
male,17,BITSAT,7.67,7.0,No club,CBSE,6,4,YES,NO,LITE,18526,4.0,NO
male,20,DASA,6.39,3.0,No club,CBSE,1,0,YES,NO,LITE,19376,0.4,NO
female,22,DASA,4.76,10.0,No club,ICSE,5,2,YES,NO,GHOT,3498,0.2,YES
male,22,BITSAT,5.34,10.0,No club,CBSE,11,4,YES,NO,GHOT,7563,0.15,YES
male,22,DASA,8.17,3.0,No club,CBSE,3,4,NO,NO,LITE,21572,0.3,NO
male,17,BOARD TOPPER,7.0,6.0,No club,CBSE,2,2,NO,YES,LITE,6054,0.3,YES
female,20,DASA,5.62,4.0,Mountaineering,CBSE,12,3,YES,YES,LITE,7339,0.2,YES
male,20,BOARD TOPPER,6.79,9.0,No club,CBSE,5,4,NO,NO,LITE,15331,5.3,NO
male,20,BOARD TOPPER,9.12,4.0,No club,CBSE,5,4,NO,NO,GHOT,12526,10.9,NO
male,21,BOARD TOPPER,4.98,3.0,No club,CBSE,0,0,NO,NO,GHOT,16140,1.3,NO
female,20,BOARD TOPPER,5.78,10.0,No club,CBSE,7,1,YES,NO,GHOT,3617,0.5,YES
female,22,BOARD TOPPER,6.92,9.0,No club,CBSE,6,4,YES,NO,GHOT,5130,0.3,YES
female,17,BITSAT,5.63,9.0,No club,CBSE,2,4,YES,NO,GHOT,6316,0.45,YES
male,17,BITSAT,6.9,3.0,No club,CBSE,4,4,YES,YES,GHOT,5232,0.35,YES
male,22,BITSAT,8.71,7.0,No club,CBSE,2,3,YES,NO,GHOT,17785,7.8,NO
male,20,BITSAT,3.75,8.0,No club,CBSE,11,0,NO,NO,GHOT,16722,0.3,NO
male,17,DASA,3.0,3.0,No club,CBSE,1,1,NO,NO,LITE,16527,1.0,NO
male,19,BITSAT,5.07,7.0,No club,ICSE,11,4,NO,YES,GHOT,12009,7.6,NO
male,20,BITSAT,4.78,4.0,No club,CBSE,6,0,YES,NO,GHOT,18459,6.4,NO
male,17,BITSAT,7.14,8.0,No club,ICSE,7,1,YES,NO,LITE,19017,3.5,NO
male,20,BITSAT,5.76,4.0,No club,CBSE,3,1,YES,NO,LITE,19507,3.7,NO
female,19,DASA,7.16,8.0,No club,CBSE,4,1,NO,YES,GHOT,5862,0.4,YES
female,21,BOARD TOPPER,9.86,6.0,No club,CBSE,12,4,NO,NO,LITE,17469,6.4,NO
female,17,BITSAT,7.01,7.0,No club,Other,14,0,NO,NO,GHOT,3862,0.15,YES
female,17,BITSAT,5.54,6.0,No club,Other,14,3,YES,NO,GHOT,7833,0.2,YES
male,22,BITSAT,8.93,4.0,No club,CBSE,3,3,YES,YES,LITE,15658,7.0,NO
male,20,BOARD TOPPER,7.69,5.0,No club,ICSE,4,1,NO,NO,LITE,11866,5.4,NO
female,22,BITSAT,3.53,8.0,No club,ICSE,2,2,YES,YES,LITE,17242,2.6,NO
male,21,BITSAT,7.41,6.0,No club,CBSE,10,2,NO,NO,LITE,13114,5.6,NO
male,17,BITSAT,4.6,7.0,No club,Other,3,2,NO,NO,GHOT,14741,9.8,NO
male,20,BITSAT,3.0,7.0,No club,CBSE,0,4,NO,NO,GHOT,19813,2.6,NO
female,24,DASA,5.18,6.0,No club,ICSE,2,1,YES,NO,GHOT,1640,0.5,YES
female,17,BITSAT,10.0,7.0,No club,ICSE,10,3,NO,NO,GHOT,6814,0.3,YES
female,17,BITSAT,8.93,6.0,No club,Other,3,4,YES,NO,GHOT,7703,0.15,YES
female,20,DASA,9.69,5.0,No club,ICSE,3,3,YES,NO,GHOT,6147,0.3,YES
male,20,DASA,6.38,6.0,No club,ICSE,5,3,YES,NO,LITE,6120,0.2,YES
male,19,BITSAT,4.43,4.0,No club,CBSE,6,4,NO,NO,LITE,17629,3.4,NO
male,19,BITSAT,7.3,3.0,No club,CBSE,3,0,YES,NO,GHOT,16816,2.0,NO
male,19,DASA,7.64,7.0,No club,ICSE,5,1,YES,NO,GHOT,14302,8.4,NO
female,17,BITSAT,5.76,8.0,Mountaineering,CBSE,4,1,NO,YES,LITE,12737,6.5,NO
female,17,DASA,7.01,6.0,No club,ICSE,6,2,YES,NO,LITE,3277,0.2,YES
female,19,BITSAT,5.86,4.0,No club,CBSE,11,3,NO,NO,GHOT,7997,0.3,YES
male,20,DASA,6.22,9.0,No club,ICSE,1,3,NO,YES,LITE,21244,3.6,NO
male,19,BITSAT,5.31,8.0,No club,ICSE,5,3,YES,NO,LITE,14967,10.7,NO
male,19,BITSAT,9.23,3.0,No club,CBSE,3,0,YES,NO,LITE,18413,7.4,NO
female,22,DASA,8.96,10.0,No club,ICSE,14,0,NO,NO,LITE,2946,0.35,YES
female,17,BITSAT,7.09,5.0,No club,ICSE,6,3,YES,YES,LITE,4262,0.3,YES
male,21,BITSAT,8.1,10.0,No club,CBSE,0,4,NO,NO,LITE,15483,10.0,NO
female,21,DASA,9.0,6.0,No club,CBSE,9,3,YES,NO,GHOT,3542,0.3,YES
male,17,BITSAT,7.69,10.0,No club,CBSE,0,3,NO,NO,LITE,17621,6.8,NO
male,19,BOARD TOPPER,7.88,4.0,No club,CBSE,12,1,NO,NO,LITE,17137,4.7,NO
female,21,BOARD TOPPER,7.67,3.0,No club,CBSE,6,0,NO,NO,GHOT,2649,0.15,YES
male,17,BITSAT,5.56,10.0,No club,Other,3,3,YES,NO,LITE,15404,8.3,NO
female,19,BOARD TOPPER,8.25,10.0,No club,ICSE,0,2,NO,NO,GHOT,4450,0.45,YES
male,21,DASA,8.13,5.0,No club,CBSE,8,4,NO,YES,GHOT,100000,0.25,YES
male,19,BITSAT,4.7,6.0,No club,CBSE,2,4,YES,NO,GHOT,7295,0.5,YES
male,20,BITSAT,8.21,3.0,DVM,CBSE,14,4,NO,NO,LITE,15140,8.6,NO
female,20,DASA,8.24,8.0,No club,ICSE,4,2,YES,NO,GHOT,4994,0.25,YES
female,20,BITSAT,4.02,4.0,No club,CBSE,4,4,YES,YES,GHOT,8103,0.5,YES
male,19,BITSAT,4.47,5.0,No club,CBSE,6,4,YES,NO,LITE,12553,4.9,NO
female,20,BITSAT,4.56,5.0,No club,CBSE,4,2,YES,NO,GHOT,13420,1.6,NO
male,22,BOARD TOPPER,5.57,4.0,No club,CBSE,1,2,NO,NO,LITE,15348,1.7,NO
male,20,BOARD TOPPER,7.65,10.0,No club,CBSE,5,0,YES,NO,LITE,11599,4.9,NO
female,20,BOARD TOPPER,6.21,3.0,No club,CBSE,4,1,NO,NO,LITE,3099,0.35,YES
male,21,BITSAT,6.45,7.0,No club,CBSE,2,3,NO,NO,GHOT,7898,0.3,YES
male,20,BITSAT,9.97,10.0,No club,CBSE,1,3,NO,NO,LITE,19696,9.9,NO
female,19,BITSAT,10.0,7.0,No club,CBSE,1,4,YES,NO,LITE,17786,1.9,NO
male,20,BITSAT,5.57,6.0,No club,CBSE,2,0,NO,NO,LITE,19348,1.8,NO
female,19,BITSAT,5.19,7.0,No club,CBSE,4,4,NO,NO,LITE,16185,2.8,NO
male,21,BOARD TOPPER,5.31,9.0,No club,CBSE,5,4,YES,NO,LITE,13384,9.8,NO
male,23,BITSAT,7.59,7.0,No club,CBSE,4,1,YES,NO,GHOT,15993,1.5,NO
male,17,BOARD TOPPER,6.51,6.0,No club,CBSE,1,0,NO,YES,GHOT,3826,0.5,YES
male,19,BITSAT,7.04,10.0,No club,CBSE,6,4,YES,NO,LITE,20366,2.0,NO
female,17,BITSAT,7.18,7.0,Mountaineering,CBSE,7,2,YES,YES,GHOT,17661,5.7,NO
male,17,BITSAT,5.16,10.0,No club,CBSE,14,0,YES,NO,LITE,10449,9.5,NO
male,17,BITSAT,4.28,8.0,No club,Other,7,1,YES,NO,LITE,13526,8.7,NO
female,21,DASA,4.7,3.0,No club,Other,5,2,NO,NO,LITE,5361,0.15,YES
male,17,BOARD TOPPER,6.28,7.0,No club,CBSE,1,3,NO,NO,LITE,12544,6.0,NO
male,22,BITSAT,7.25,5.0,No club,CBSE,8,2,YES,NO,GHOT,2329,0.25,YES
female,17,BITSAT,5.76,3.0,No club,CBSE,2,3,YES,NO,GHOT,11584,10.3,NO
female,21,BOARD TOPPER,6.21,8.0,No club,CBSE,0,3,YES,YES,GHOT,7061,0.2,YES
female,19,BOARD TOPPER,7.58,3.0,No club,CBSE,2,4,NO,YES,GHOT,8448,0.25,YES
male,20,BOARD TOPPER,7.87,10.0,No club,CBSE,11,4,NO,NO,GHOT,16975,3.9,NO
female,18,BITSAT,8.55,7.0,No club,CBSE,1,4,YES,YES,GHOT,18521,8.0,NO
male,17,BITSAT,7.52,3.0,No club,ICSE,14,4,NO,NO,LITE,12610,1.8,NO
male,19,BITSAT,8.08,9.0,No club,Other,7,2,NO,NO,GHOT,15619,7.5,NO
male,20,BITSAT,6.69,10.0,No club,CBSE,3,1,YES,NO,LITE,13559,10.3,NO
female,20,BITSAT,5.31,5.0,No club,CBSE,0,0,NO,YES,LITE,13269,1.8,NO
male,19,BITSAT,7.76,4.0,No club,CBSE,9,1,YES,YES,LITE,20461,8.4,NO
male,17,BITSAT,5.93,6.0,No club,CBSE,7,1,YES,NO,LITE,15360,10.7,NO
female,20,BOARD TOPPER,6.25,7.0,No club,CBSE,7,0,YES,NO,LITE,4755,0.3,YES
female,19,BOARD TOPPER,10.0,8.0,No club,CBSE,5,4,YES,NO,GHOT,8364,0.3,YES
male,17,BITSAT,5.43,10.0,No club,Other,0,3,YES,NO,LITE,20070,2.8,NO
male,21,BITSAT,5.48,9.0,No club,CBSE,6,3,NO,NO,LITE,7809,0.2,YES
male,20,DASA,6.97,3.0,No club,CBSE,4,3,NO,NO,GHOT,3785,0.15,YES
female,17,BITSAT,6.22,6.0,No club,CBSE,9,4,NO,NO,GHOT,5222,0.45,YES
female,22,BOARD TOPPER,4.49,6.0,No club,CBSE,3,3,YES,NO,GHOT,5307,0.35,YES
male,19,BITSAT,6.33,7.0,No club,CBSE,0,3,NO,NO,GHOT,14173,0.4,NO
male,23,DASA,9.0,8.0,No club,CBSE,8,2,YES,NO,GHOT,19681,0.3,NO
female,19,DASA,5.33,5.0,No club,CBSE,7,0,NO,YES,GHOT,4575,0.15,YES
female,19,BITSAT,9.15,5.0,DVM,CBSE,14,3,YES,YES,LITE,15514,7.7,NO
female,20,BOARD TOPPER,4.32,10.0,DVM,CBSE,14,2,YES,YES,GHOT,4215,0.45,YES
male,24,DASA,7.54,10.0,No club,CBSE,5,4,NO,YES,LITE,14883,6.9,NO
male,20,BOARD TOPPER,4.75,10.0,No club,CBSE,9,1,YES,NO,LITE,16752,0.5,NO
female,22,BOARD TOPPER,8.48,5.0,No club,CBSE,6,1,NO,YES,GHOT,5649,0.35,YES
male,19,BITSAT,7.81,4.0,No club,CBSE,2,3,NO,NO,LITE,15944,4.3,NO
male,20,BITSAT,9.75,9.0,No club,CBSE,4,1,NO,NO,LITE,14570,8.5,NO
female,20,BOARD TOPPER,5.32,9.0,No club,CBSE,1,0,NO,NO,GHOT,3321,0.5,YES
male,17,BITSAT,7.98,10.0,No club,CBSE,3,3,NO,NO,GHOT,3076,0.25,YES
male,17,DASA,8.33,9.0,No club,CBSE,3,4,NO,YES,GHOT,7303,0.45,YES
female,18,BOARD TOPPER,8.15,5.0,No club,CBSE,3,4,NO,YES,GHOT,5468,0.3,YES
male,21,DASA,3.78,7.0,No club,CBSE,7,4,NO,NO,GHOT,75000,0.5,YES
female,18,BITSAT,6.06,10.0,DVM,ICSE,12,4,YES,YES,GHOT,4103,0.3,YES
male,23,DASA,6.44,4.0,No club,CBSE,5,3,NO,NO,GHOT,6690,0.45,YES
male,21,BOARD TOPPER,6.97,4.0,No club,CBSE,15,4,NO,YES,GHOT,19578,4.5,NO
male,17,BITSAT,6.36,5.0,No club,CBSE,3,2,YES,NO,LITE,19589,9.4,NO
male,20,DASA,8.0,9.0,No club,ICSE,6,0,YES,NO,LITE,13335,3.6,NO
male,23,DASA,7.93,9.0,No club,ICSE,3,2,YES,NO,LITE,5110,0.15,YES
male,17,BITSAT,6.11,10.0,No club,CBSE,6,4,NO,NO,LITE,18710,1.5,NO
male,20,BITSAT,4.9,10.0,No club,ICSE,6,2,NO,NO,LITE,3935,0.15,YES
male,24,DASA,6.53,7.0,No club,CBSE,7,3,NO,NO,LITE,12215,10.7,NO
female,17,DASA,7.84,3.0,No club,CBSE,7,3,NO,NO,LITE,6943,0.15,YES
female,23,BOARD TOPPER,6.59,3.0,No club,CBSE,5,4,YES,NO,LITE,5837,0.3,YES
male,17,BITSAT,7.9,6.0,No club,Other,8,4,NO,NO,LITE,13289,7.8,NO
male,22,DASA,7.8,6.0,No club,CBSE,14,1,NO,NO,GHOT,4354,0.3,YES
male,21,BITSAT,7.18,4.0,No club,CBSE,7,4,NO,NO,GHOT,20251,4.4,NO
male,22,DASA,6.31,3.0,No club,CBSE,2,1,YES,NO,LITE,11063,3.9,NO
male,22,BOARD TOPPER,7.8,3.0,No club,CBSE,5,0,NO,NO,LITE,12061,3.4,NO
male,17,BITSAT,5.17,4.0,No club,CBSE,11,0,YES,NO,LITE,17678,2.6,NO
male,21,BITSAT,5.83,7.0,No club,CBSE,6,4,YES,NO,LITE,20844,8.7,NO
male,17,BOARD TOPPER,3.69,10.0,No club,CBSE,11,2,NO,NO,GHOT,12053,0.8,NO
male,23,DASA,6.78,6.0,No club,CBSE,6,3,NO,NO,LITE,16430,10.9,NO
male,17,BITSAT,7.77,5.0,No club,Other,4,2,NO,NO,GHOT,13885,3.0,NO
female,17,BITSAT,7.19,6.0,DVM,ICSE,11,0,NO,YES,LITE,220,0.15,YES
male,17,BITSAT,4.68,9.0,No club,CBSE,4,3,NO,NO,LITE,15442,10.3,NO
male,21,BITSAT,8.98,8.0,No club,CBSE,0,2,NO,NO,LITE,18515,3.9,NO
female,21,BOARD TOPPER,7.26,7.0,No club,CBSE,7,0,NO,YES,GHOT,359,0.4,YES
female,20,BOARD TOPPER,6.23,7.0,No club,ICSE,4,4,NO,NO,GHOT,5384,0.2,YES
female,19,BITSAT,6.43,7.0,No club,CBSE,7,3,NO,NO,LITE,18174,3.7,NO
male,17,DASA,6.73,5.0,No club,CBSE,11,0,YES,NO,LITE,18923,2.8,NO
male,21,BOARD TOPPER,8.61,3.0,No club,CBSE,7,2,NO,NO,LITE,17697,2.8,NO
male,20,BITSAT,6.04,7.0,No club,CBSE,6,0,YES,NO,LITE,15553,2.4,NO
male,19,BITSAT,6.12,5.0,No club,CBSE,6,2,NO,NO,LITE,20665,2.3,NO
female,17,BITSAT,7.2,5.0,No club,CBSE,5,1,NO,YES,GHOT,5625,0.3,YES
male,18,BITSAT,8.88,10.0,SUTT,CBSE,2,4,YES,YES,LITE,13880,7.4,NO
male,17,BOARD TOPPER,6.29,6.0,No club,CBSE,11,0,YES,NO,LITE,16045,0.3,NO
male,23,BITSAT,6.21,9.0,No club,CBSE,6,4,YES,NO,LITE,19743,7.4,NO
female,24,BITSAT,5.06,6.0,No club,CBSE,2,0,YES,NO,GHOT,2972,0.45,YES
male,20,DASA,10.0,9.0,No club,ICSE,9,4,NO,NO,GHOT,4851,0.5,YES
female,17,BITSAT,4.57,3.0,Mountaineering,CBSE,0,3,YES,YES,LITE,20986,6.9,NO
female,21,DASA,3.73,4.0,No club,CBSE,7,3,YES,NO,LITE,5285,0.4,YES
male,24,DASA,9.78,7.0,No club,ICSE,2,3,NO,NO,LITE,19377,5.3,NO
male,20,BITSAT,7.75,9.0,No club,CBSE,3,1,YES,NO,GHOT,16011,5.9,NO
male,18,BITSAT,5.65,7.0,No club,CBSE,2,1,NO,YES,GHOT,1955,0.45,YES
male,17,BITSAT,7.29,7.0,No club,CBSE,0,4,NO,NO,LITE,21597,8.0,NO
male,19,BITSAT,5.38,3.0,No club,CBSE,0,1,NO,NO,LITE,15995,3.9,NO
male,23,DASA,4.34,4.0,No club,CBSE,2,1,YES,NO,LITE,17073,4.3,NO
male,25,DASA,5.77,5.0,No club,ICSE,14,2,NO,NO,LITE,20209,9.9,NO
male,19,BITSAT,3.0,5.0,No club,CBSE,5,1,NO,NO,LITE,15273,0.9,NO
male,17,BITSAT,8.68,9.0,No club,ICSE,1,1,YES,NO,GHOT,19890,7.7,NO
female,23,DASA,3.63,8.0,No club,ICSE,5,2,NO,NO,GHOT,2401,0.15,YES
male,17,BITSAT,5.65,4.0,No club,CBSE,15,4,YES,NO,LITE,14431,3.0,NO
female,20,DASA,6.99,7.0,No club,CBSE,5,0,NO,YES,LITE,10019,10.7,NO
male,20,BITSAT,6.81,9.0,No club,CBSE,2,3,YES,NO,LITE,11801,9.0,NO
male,19,BITSAT,6.53,7.0,No club,CBSE,1,2,NO,NO,LITE,20976,8.9,NO
female,19,BITSAT,7.19,9.0,No club,Other,6,0,NO,NO,GHOT,16925,5.9,NO
female,17,BITSAT,3.59,9.0,No club,Other,9,3,YES,NO,LITE,13796,8.5,NO
female,21,BITSAT,7.54,9.0,No club,CBSE,5,0,NO,NO,GHOT,10633,5.9,NO
male,17,DASA,6.81,9.0,No club,CBSE,13,4,NO,NO,GHOT,4686,0.2,YES
male,20,BITSAT,6.57,3.0,No club,CBSE,0,3,NO,NO,LITE,16613,5.3,NO
male,20,BITSAT,7.35,6.0,No club,CBSE,7,2,YES,NO,GHOT,6719,0.5,YES
male,20,BITSAT,8.56,7.0,No club,Other,6,3,NO,NO,LITE,4162,0.15,YES
male,17,BITSAT,8.5,9.0,No club,CBSE,1,3,NO,NO,LITE,20028,1.8,NO
male,21,DASA,8.75,6.0,No club,CBSE,6,4,YES,NO,GHOT,5227,0.45,YES
female,23,DASA,4.64,3.0,No club,ICSE,2,3,YES,NO,GHOT,7184,0.4,YES
male,20,BITSAT,5.73,4.0,No club,CBSE,7,3,YES,NO,LITE,18910,0.9,NO
male,22,DASA,9.42,6.0,No club,CBSE,3,1,NO,NO,LITE,10545,8.4,NO
female,21,BOARD TOPPER,8.16,10.0,No club,CBSE,3,0,YES,NO,GHOT,3763,0.45,YES
male,17,BITSAT,5.0,10.0,No club,Other,6,3,NO,NO,LITE,15655,7.4,NO
female,21,BOARD TOPPER,6.73,4.0,No club,CBSE,1,0,YES,NO,GHOT,1425,0.15,YES
male,21,BITSAT,3.0,8.0,No club,CBSE,5,3,YES,NO,LITE,19135,8.6,NO
female,20,DASA,7.31,9.0,No club,CBSE,5,0,YES,NO,GHOT,3049,0.15,YES
male,19,BITSAT,9.36,8.0,No club,CBSE,7,3,YES,NO,LITE,18054,7.7,NO
male,17,BITSAT,5.09,8.0,No club,ICSE,7,0,YES,NO,LITE,18703,5.0,NO
female,22,DASA,5.48,8.0,No club,ICSE,11,0,NO,YES,GHOT,3909,0.2,YES
male,17,BITSAT,7.56,7.0,No club,ICSE,11,4,NO,NO,LITE,14313,1.5,NO
male,22,BITSAT,7.05,3.0,No club,Other,6,1,YES,NO,GHOT,16178,9.7,NO
female,23,BOARD TOPPER,6.9,10.0,No club,CBSE,0,3,YES,NO,GHOT,3479,0.45,YES
male,17,DASA,6.65,9.0,No club,CBSE,4,3,NO,NO,LITE,14609,2.0,NO
male,21,BITSAT,6.12,3.0,No club,CBSE,4,1,YES,NO,LITE,2523450,5.0,NO
male,20,BOARD TOPPER,4.06,7.0,DVM,CBSE,13,4,YES,YES,LITE,21719,1.6,NO
female,17,BOARD TOPPER,5.49,9.0,No club,CBSE,9,1,NO,YES,GHOT,2987,0.25,YES
male,17,BITSAT,7.67,8.0,No club,ICSE,5,3,NO,NO,LITE,18820,0.4,NO
male,19,BITSAT,6.19,3.0,No club,ICSE,5,2,YES,YES,LITE,20376,1.9,NO
female,17,BITSAT,9.25,8.0,No club,ICSE,4,1,YES,YES,GHOT,5708,0.3,YES
female,20,BITSAT,5.06,3.0,No club,CBSE,8,4,NO,NO,LITE,14514,2.7,NO
female,18,BOARD TOPPER,5.44,5.0,No club,CBSE,5,4,YES,YES,LITE,8309,0.4,YES
male,22,DASA,7.04,7.0,No club,CBSE,2,3,NO,NO,LITE,18451,5.5,NO
female,20,DASA,5.72,6.0,No club,ICSE,4,0,YES,NO,LITE,2909,0.15,YES
male,17,BITSAT,5.06,9.0,No club,CBSE,4,3,YES,NO,GHOT,15068,3.3,NO
female,19,DASA,4.88,10.0,No club,ICSE,0,0,NO,YES,GHOT,106,0.4,YES
female,21,DASA,7.13,4.0,No club,CBSE,2,4,NO,YES,GHOT,7930,0.25,YES
female,18,BITSAT,6.34,4.0,Gaming Club,CBSE,8,3,NO,YES,LITE,12677,8.9,NO
female,18,BITSAT,6.94,4.0,Gaming Club,CBSE,5,0,NO,YES,LITE,14504,0.5,NO
male,21,BOARD TOPPER,5.87,10.0,No club,CBSE,3,0,YES,NO,GHOT,657,0.15,YES
male,23,DASA,7.85,7.0,No club,ICSE,11,3,NO,NO,LITE,19564,5.3,NO
male,24,DASA,7.28,10.0,No club,CBSE,7,3,NO,NO,LITE,19054,3.9,NO
female,19,BOARD TOPPER,6.44,9.0,No club,CBSE,3,2,YES,NO,LITE,4311,0.3,YES
male,17,BOARD TOPPER,4.8,5.0,No club,ICSE,7,4,NO,NO,GHOT,4179,0.3,YES
male,21,BITSAT,7.93,6.0,No club,CBSE,1,4,YES,YES,LITE,15375,7.5,NO
male,18,BOARD TOPPER,3.0,10.0,No club,CBSE,2,1,YES,YES,GHOT,3094,0.15,YES
male,19,DASA,4.39,10.0,No club,ICSE,14,4,YES,YES,GHOT,4906,0.3,YES
male,20,BOARD TOPPER,6.23,9.0,No club,CBSE,7,4,YES,NO,GHOT,20403,5.7,NO
male,17,BITSAT,7.69,4.0,No club,Other,4,0,YES,NO,LITE,15994,9.8,NO
male,19,BITSAT,5.4,8.0,No club,ICSE,8,0,NO,NO,GHOT,1270,0.5,YES
female,19,BITSAT,7.3,7.0,No club,CBSE,6,4,NO,NO,GHOT,6305,0.45,YES
male,24,DASA,7.95,4.0,No club,CBSE,0,4,YES,NO,GHOT,15063,3.7,NO
female,22,DASA,8.06,4.0,No club,ICSE,5,0,YES,NO,GHOT,2087,0.35,YES
male,17,DASA,5.86,5.0,No club,ICSE,12,3,YES,NO,LITE,18962,10.8,NO
